>mml
ACT     MSCBC1                    AD-244  TIME 240425 1120  OPGROUP
CLUSTER SESSION - NORMAL MODE
<MGSVP;
ORDERED
<

ACT     MSCBC1                    AD-244  TIME 240425 1121  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-447953700247             9          8
4-447782000229             2          1
4-3319120120444           10         10
4-385910930                3          2
4-14054729211              3          3
4-8615021040000            2          1
4-33191485010107          24         19
4-491700600134             4          2
4-201059968084            11         10
4-9477000253               7          4
4-550101102069             1          1
4-447797707076             7          0
4-3319160160029            4          4
4-8614750350000            1          1
4-8613436740000            4          1
4-447953700229            11         10
4-14054729222              3          3
4-8613870840000            4          4
4-14054729339             10         10
4-3319120120440           12         11
4-201059968207             7          5
4-14054729193              7          6
4-919890064505             7          4
4-4540390932              12         10
4-14054729210              5          4
4-447953700237            10          9
4-40770000027             22         17
4-14054729368              3          3
4-8615114930000            4          3
4-491760003022            23         18
4-447802002737            11         11
4-201059968086             3          1
4-33191393490218          12         12
4-14054729360              3          3
4-336110000320601          4          1
4-639170000358            21          9
4-491760003006            13         13
4-447782000115             3          2
4-33689008256              4          3
4-48601000071             11         10
4-33191491720107           8          7
4-447953700217            10          9
4-491700600128             7          6
4-8613459120000            2          2
4-447953700230             3          2
4-8614796910000            1          1
4-32475002511              1          1
4-8613745908000            1          1
4-14054729205              6          4
4-33191316540398         626        362
4-447953700228            10          8
4-971550930006            34         31
4-201059968088            10          9
4-919897050310             3          2
4-14054729241              6          4
4-14054729337              7          6
4-861476741000             2          2
4-201059968070            11          9
4-14054729195              3          3
4-14054729351              8          7
4-22899999765              8          4
4-14047259012              7          7
4-491700600101             5          4
4-4528133317               1          1
4-14054729329              3          2
4-33660005130              1          1
4-358508771123             6          6
4-48601000067              3          3
4-33191491720170          10         10
4-421949901071             3          3
4-14054729357              2          2
4-447953700231             7          6
4-358508771122             6          4
4-352061000220             9          7
4-358447981200            15         14
4-447953700219             2          2
4-97336019910              7          5
4-14054729343              4          4
4-23170000042              2          1
4-19037029903             14         13
4-628964001091             8          5
4-3319120120436            5          4
4-201059968202            12          9
4-447953700252             2          2
4-8613629510000            2          2
4-33191443850196          11         10
4-491700600153             4          4
4-12085978677              6          6
4-4531307401               8          5
4-48601000297              5          1
4-819066519778             3          3
4-201059968204             5          3
4-436760182224             3          1
4-491700600309             1          1
4-37069899885             15         10
4-233277500820             4          4
4-14054729197              4          3
4-33191485010395          21         19
4-79222900242              2          2
4-447953700255             5          5
4-84900100                 3          1
4-919815053740             6          3
4-447953700235             8          8
4-14054729322              5          5
4-33191393490323          22         18
4-31653099532             24         18
4-491760003012            18         15
4-79202906865              1          1
4-3319120120447            8          8
4-33191905420158           1          1
4-14054729338              2          2
4-14054729326              3          3
4-3725098027               4          4
4-201059968083            11          8
4-13123149270              3          2
4-886973848920             1          1
4-33191905420170           2          1
4-33191353870031           2          2
4-919820005392136          2          1
4-491700600137             5          3
4-46705003204              4          4
4-37256100200              2          2
4-14047259037              3          3
4-14054729355              3          2
4-61415011028              1          1
4-331911514420022         15         13
4-14054729362              4          4
4-8613426340000            1          1
4-819066519752             1          1
4-639180008985             1          0
4-201059968081            12         11
4-491700600152             2          0
4-8619547670000            1          1
4-33191491720125           4          4
4-447488200537             9          9
4-8618405110000            1          1
4-8190542113892            1          1
4-491700600107             3          3
4-639180008993             6          4
4-331914219050053          4          4
4-33609009908             56         48
4-989200000102             1          1
4-639180008989             1          0
4-861476742000             3          3
4-33191316540267           2          2
4-8613524540000            1          1
4-639180009005             7          2
4-41794992015             61         48
4-491700600125             5          4
4-38977000270              4          4
4-962788990023             3          3
4-14054729192              3          3
4-16363848769              4          3
4-491700600158             4          4
4-421949901074             1          1
4-324750004161022          5          4
4-19039326968              2          2
4-33191905420184           1          1
4-56982999055              1          1
4-34609091004              5          5
4-8613741900000            1          1
4-447782000119             4          3
4-491700600308             1          1
4-46707000233             50         47
4-201059968203             8          7
4-491700600118             4          3
4-201059968071            11         10
4-324750007324306         11         11
4-3725098026               4          3
4-14054729312              7          7
4-639180008988             3          2
4-33689008255              5          4
4-33609009913             50         43
4-30971460009              3          2
4-14054729361              2          2
4-550101102093             3          3
4-14054729341              3          3
4-19039326946              1          1
4-447802000257             5          5
4-33191905420187           3          2
4-491700600136             2          2
4-352600000001001          1          1
4-4528133313               2          1
4-491700600147             3          3
4-48601000065              5          4
4-99599599912              2          1
4-421949901072             2          2
4-393358840738179          8          4
4-3319120120471            5          3
4-14054729225              4          4
4-33191346560153           8          8
4-861316047405             1          1
4-919845286068             8          8
4-447953700242             7          5
4-33689002884              1          1
4-447782000221             2          2
4-639180008991             5          2
4-639180009003             1          1
4-14054729196              5          5
4-33191393490281           6          4
4-12404492441              7          7
4-491760007032             4          0
4-358402001002             4          4
4-14054729199              2          2
4-8613441754               1          1
4-550066102009             1          1
4-33191485010437           4          4
4-8613344181000           11         11
4-447782000231             2          2
4-33191351910061          10         10
4-14054729216              2          2
4-79639741154              1          1
4-19039326986              2          1
4-447953700221             1          0
4-491700600150             3          2
4-491700600105             4          4
4-491760003011            14         12
4-14054729228              3          2
4-324750007315415          1          1
4-919810051031             5          4
4-33191232760008           5          2
4-421903002024             2          2
4-19703769838              1          1
4-393358840763002          1          1
4-639180008992             3          1
4-14054729367              3          3
